2021-09-08 11:07:49.121 INFO  [778067] Logger 0 Initialized
2021-09-08 11:10:23.964 INFO  [779083] Logger 0 Initialized
2021-09-08 11:10:59.998 INFO  [779482] Logger 0 Initialized
2021-09-08 11:11:32.089 INFO  [779822] Logger 0 Initialized
2021-09-08 11:12:09.552 INFO  [780188] Logger 0 Initialized
2021-09-08 11:13:45.292 INFO  [780855] Logger 0 Initialized
2021-09-08 11:16:01.226 INFO  [782323] Logger 0 Initialized
2021-09-08 11:18:31.218 INFO  [783971] Logger 0 Initialized
2021-09-08 11:22:33.484 INFO  [786787] Logger 0 Initialized
2021-09-08 11:27:23.616 INFO  [789891] Logger 0 Initialized
2021-09-08 11:28:14.579 INFO  [790447] Logger 0 Initialized
2021-09-08 11:31:39.595 INFO  [791970] Logger 0 Initialized
2021-09-08 11:32:16.107 INFO  [792314] Logger 0 Initialized
2021-09-09 08:48:42.547 INFO  [14014] Logger 0 Initialized
2021-09-09 08:50:23.307 INFO  [15285] Logger 0 Initialized
2021-09-09 08:50:57.610 INFO  [15751] Logger 0 Initialized
2021-09-09 08:51:45.944 INFO  [16195] Logger 0 Initialized
2021-09-09 08:52:44.864 INFO  [16964] Logger 0 Initialized
2021-09-09 08:53:32.684 INFO  [17319] Logger 0 Initialized
2021-09-09 08:56:46.252 INFO  [18760] Logger 0 Initialized
2021-09-09 08:59:49.539 INFO  [20122] Logger 0 Initialized
2021-09-09 09:02:09.424 INFO  [21283] Logger 0 Initialized
2021-09-09 09:06:51.810 INFO  [23181] Logger 0 Initialized
2021-09-09 09:07:51.942 INFO  [23731] Logger 0 Initialized
2021-09-09 09:10:46.974 INFO  [24982] Logger 0 Initialized
2021-09-09 09:13:19.468 INFO  [26014] Logger 0 Initialized
2021-09-09 09:16:51.905 INFO  [27619] Logger 0 Initialized
2021-09-09 09:17:56.596 INFO  [28200] Logger 0 Initialized
2021-09-09 09:18:32.576 INFO  [28614] Logger 0 Initialized
2021-09-09 09:29:20.498 INFO  [33805] Logger 0 Initialized
2021-09-09 09:29:27.383 INFO  [33878] Logger 0 Initialized
2021-09-09 09:29:28.466 INFO  [33885] Logger 0 Initialized
2021-09-09 09:29:29.758 INFO  [33898] Logger 0 Initialized
2021-09-09 09:29:30.843 INFO  [33909] Logger 0 Initialized
2021-09-09 09:29:32.678 INFO  [33918] Logger 0 Initialized
2021-09-09 09:29:47.203 INFO  [34069] Logger 0 Initialized
2021-09-09 09:29:49.690 INFO  [34095] Logger 0 Initialized
2021-09-09 09:29:50.744 INFO  [34103] Logger 0 Initialized
2021-09-09 09:29:52.038 INFO  [34111] Logger 0 Initialized
2021-09-09 09:29:55.802 INFO  [34204] Logger 0 Initialized
2021-09-09 09:29:56.777 INFO  [34211] Logger 0 Initialized
2021-09-09 09:30:04.454 INFO  [34255] Logger 0 Initialized
2021-09-09 09:30:09.935 INFO  [34300] Logger 0 Initialized
2021-09-09 09:30:10.926 INFO  [34308] Logger 0 Initialized
2021-09-09 09:30:12.190 INFO  [34319] Logger 0 Initialized
2021-09-09 09:30:14.861 INFO  [34339] Logger 0 Initialized
2021-09-09 09:30:16.602 INFO  [34359] Logger 0 Initialized
2021-09-09 09:30:17.897 INFO  [34372] Logger 0 Initialized
2021-09-09 09:30:26.085 INFO  [34459] Logger 0 Initialized
2021-09-09 09:30:30.763 INFO  [34506] Logger 0 Initialized
2021-09-09 09:32:11.791 INFO  [35718] Logger 0 Initialized
2021-09-09 09:33:40.539 INFO  [36339] Logger 0 Initialized
2021-09-09 09:35:39.026 INFO  [37367] Logger 0 Initialized
2021-09-09 09:35:42.795 INFO  [37425] Logger 0 Initialized
2021-09-09 09:36:42.410 INFO  [37851] Logger 0 Initialized
2021-09-09 09:37:18.879 INFO  [38065] Logger 0 Initialized
2021-09-09 09:38:05.849 INFO  [38398] Logger 0 Initialized
2021-09-09 09:46:34.381 INFO  [41967] Logger 0 Initialized
2021-09-09 09:52:05.474 INFO  [43505] Logger 0 Initialized
2021-09-09 09:55:43.083 INFO  [45354] Logger 0 Initialized
2021-09-09 09:57:30.563 INFO  [46243] Logger 0 Initialized
2021-09-09 09:57:51.378 INFO  [46454] Logger 0 Initialized
2021-09-09 09:58:42.958 INFO  [46997] Logger 0 Initialized
2021-09-09 10:14:37.709 INFO  [54715] Logger 0 Initialized
2021-09-09 10:16:09.964 INFO  [55538] Logger 0 Initialized
2021-09-09 10:16:49.177 INFO  [55912] Logger 0 Initialized
2021-09-09 10:18:24.657 INFO  [56934] Logger 0 Initialized
2021-09-10 09:09:04.032 INFO  [41339] Logger 0 Initialized
2021-09-10 09:12:03.990 INFO  [42919] Logger 0 Initialized
2021-09-10 09:12:55.575 INFO  [43474] Logger 0 Initialized
2021-09-10 09:13:23.115 INFO  [43869] Logger 0 Initialized
2021-09-10 09:14:31.663 INFO  [44788] Logger 0 Initialized
2021-09-10 09:14:43.912 INFO  [45052] Logger 0 Initialized
2021-09-10 09:15:08.190 INFO  [45456] Logger 0 Initialized
2021-09-10 09:15:37.556 INFO  [45754] Logger 0 Initialized
2021-09-10 09:18:13.627 INFO  [47010] Logger 0 Initialized
2021-09-10 09:18:48.731 INFO  [47374] Logger 0 Initialized
